"m,""Year"",""COG_hat"",""SE"""
1,2001,226.547085354107,91.5301299846589
1,2002,184.448068444624,245.177654340761
1,2003,245.878874663828,70.562682912118
1,2004,243.158468853969,165.459044179067
1,2005,184.071485113292,57.7059897935182
1,2006,18.3347610912271,166.100250232143
1,2007,254.880028044557,48.0976617808024
1,2008,152.467096983667,141.729812009108
1,2009,361.609141173725,67.2520565853871
1,2010,186.382984241516,143.903060977747
1,2011,248.719009769472,65.1395761627943
1,2012,134.820102746465,170.379713997432
1,2013,312.611823175636,63.2049269973053
1,2014,326.241792311808,141.876013329329
1,2015,411.535102641923,51.0923831435044
1,2016,151.383180031936,120.468838495144
1,2017,179.326827530513,49.134785760265
1,2018,98.2657640048948,179.863626857163
2,2001,6535.51983640469,21.5623094821778
2,2002,6528.21330514189,60.489104764454
2,2003,6560.56459190938,18.7711776367496
2,2004,6550.98039679591,55.2782817098319
2,2005,6567.81368502376,13.6532650967205
2,2006,6519.28002047449,52.4275175579548
2,2007,6570.97113349201,10.3511478224512
2,2008,6539.78997005597,47.4143654573203
2,2009,6537.22822024026,12.3726265175007
2,2010,6551.50074157622,53.8739654740952
2,2011,6553.38045580028,15.50710535975
2,2012,6542.24081514726,59.4243999002011
2,2013,6563.81218421193,15.6756459681054
2,2014,6581.15581743636,54.3240031249943
2,2015,6578.52397993564,10.0726678025265
2,2016,6576.33069481643,35.1888099285493
2,2017,6541.16725466776,12.423311718399
2,2018,6574.53462795622,50.640816593358
